isbn13,full_title,authors,published_year,description,refined_categories,average_rating,num_pages,thumbnail
9780060727635,"The Collected Letters of C.S. Lewis, Volume 1: Family Letters, 1905-1931",Clive Staples Lewis,2004,"A first volume of personal correspondence written by classic author Clive Staples Lewis includes letters penned during his childhood, World War I army days, education at Oxford, atheist period, and early friendship with John Ronald Reuel Tolkien.","['Historical', 'Adventure', 'Non-fiction']",4.37,1072.0,http://books.google.com/books/content?id=eOxfuF6BQ0gC&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060730550,Touching the Void: The True Story of One Man's Miraculous Survival,Joe Simpson,2004,"Joe Simpson and his climbing partner, Simon Yates, had just reached the top of a 21,000-foot peak in the Andes when disaster struck. Simpson plunged off the vertical face of an ice ledge, breaking his leg. In the hours that followed, darkness fell and a blizzard raged as Yates tried to lower his friend to safety. Finally, Yates was forced to cut the rope, moments before he would have been pulled to his own death. The next three days were an impossibly grueling ordeal for both men. Yates, certain that Simpson was dead, returned to base camp consumed with grief and guilt over abandoning him. Miraculously, Simpson had survived the fall, but crippled, starving, and severely frostbitten was trapped in a deep crevasse. Summoning vast reserves of physical and spiritual strength, Simpson crawled over the cliffs and canyons of the Andes, reaching base camp hours before Yates had planned to leave. How both men overcame the torments of those harrowing days is an epic tale of fear, suffering, and survival, and a poignant testament to unshakable courage and friendship.","['Adventure', 'Historical', 'Young Adult', 'Non-fiction', 'Personal Development', 'Horror', 'Mystery', 'Love']",4.21,218.0,http://books.google.com/books/content?id=Qg8DO-EqFzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060731304,Anybody Out There?: A Novel,Marian Keyes,2006,"Marian Keyes has introduced readers to the lives, loves, and foibles of the five Walsh sisters -- Claire, Maggie, Rachel, Helen, and Anna -- and their crazy mammy. In this funny, heartbreaking, and triumphant new tale set in the Big Apple, it's Anna's turn in the spotlight. Life is perfect for Anna Walsh. She has the ""Best Job in the World"" as a PR exec for a top-selling urban beauty brand, a lovely apartment in New York, and a perfect husband -- the love of her life, Aidan Maddox. Until the morning she wakes up in her mammy's living room in Dublin with stitches in her face, a dislocated knee, and completely smashed-up hands -- and no memory of how she got there. While her mammy plays nursemaid (just like all of her favorite nurses on her soaps), and her sister Helen sits in wet hedges doing her private investigator work for Lucky Star PI, Anna tries to get better and keeps wondering why Aidan won't return her phone calls or e-mails. Recuperating from her injuries, a mystified Anna returns to Manhattan. Slowly beginning to remember what happened, she sets off on a search to find Aidan -- a hilarious quest involving lilies (she can't stop smelling them), psychics, mediums, and anyone in the city who can promise her a reunion with her beloved. . . . Written in her classic style, marrying the darker parts of life with humor and wit, Anybody Out There? is Marian Keyes's best novel to date, a wonderfully charming look at love here and ever after.","['Love', 'Personal Development', 'Mystery']",3.91,456.0,http://books.google.com/books/content?id=79T7wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060732707,My Little Pony: Hide-and-Seek,Jennifer Frantz,2004,"Ponies know how to have fun! A game of hide-and-seek is the perfectpastime on a beautiful afternoon. But when Sparkleworks is nowhere to be found, the ponies decide to turn the tables and make her find them.","[""Children's""]",4.14,24.0,http://books.google.com/books/content?id=oP3lPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060734015,Bridge to Terabithia (rack),Katherine Paterson,2004,"Jess Aarons' greatest ambition is to be the fastest runner in his grade. He's been practicing all summer and can't wait to see his classmates' faces when he beats them all. But on the first day of school, a new girl boldly crosses over to the boys' side and outruns everyone. That's not a very promising beginning for a friendship, but Jess and Leslie Burke become inseparable. Together they create Terabithia, a magical kingdom in the woods where the two of them reign as king and queen, and their imaginations set the only limits. Then one morning a terrible tragedy occurs. Only when Jess is able to come to grips with this tragedy does he finally understand the strength and courage Leslie has given him.","['Young Adult', ""Children's"", 'Fantasy', 'Non-fiction', 'Adventure']",3.99,191.0,http://books.google.com/books/content?id=LgLT04F1KscC&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060735449,Island of the Sequined Love Nun,Christopher Moore,2004,"Take a wonderfully crazed excursion into the demented heart of a tropical paradise—a world of cargo cults, cannibals, mad scientists, ninjas, and talking fruit bats. Our bumbling hero is Tucker Case, a hopeless geek trapped in a cool guy's body, who makes a living as a pilot for the Mary Jean Cosmetics Corporation. But when he demolishes his boss's pink plane during a drunken airborne liaison, Tuck must run for his life from Mary Jean's goons. Now there's only one employment opportunity left for him: piloting shady secret missions for an unscrupulous medical missionary and a sexy blond high priestess on the remotest of Micronesian hells. Here is a brazen, ingenious, irreverent, and wickedly funny novel from a modern master of the outrageous.","['Love', 'Adventure', 'Young Adult', 'Fantasy', 'Science Fiction', 'Religion']",3.79,336.0,http://books.google.com/books/content?id=YLqclgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060735456,The Lust Lizard of Melancholy Cove,Christopher Moore,2004,"The town psychiatrist has decided to switch everybody in Pine Cove, California, from their normal antidepressants to placebos, so naturally—well, to be accurate, artificially—business is booming at the local blues bar. Trouble is, those lonely slide-guitar notes have also attracted a colossal sea beast named Steve with, shall we say, a thing for explosive oil tanker trucks. Suddenly, morose Pine Cove turns libidinous and is hit by a mysterious crime wave, and a beleaguered constable has to fight off his own gonzo appetites to find out what's wrong and what, if anything, to do about it.","['Mystery', 'Non-fiction', 'Young Adult', 'Fantasy']",3.86,304.0,http://books.google.com/books/content?id=kUDSt-EI814C&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060736255,Weetzie Bat,Francesca Lia Block,2004,"Fifteen years ago Francesca Lia Block made a dazzling entrance into the literary scene with what would become one of the most talked-about books of the decade: Weetzie Bat. This poetic roller coaster swoop has a sleek new design to match its new sister and brother books, Goat Girls and Beautiful Boys. Rediscover the magic of Weetzie Bat, Ms. Blocks sophisticated, slinkster-cool love song to L.A.the book that shattered the standard, captivated readers of all generations, and made Francesca Lia Block one of the most heralded authors of the last decade.","['Historical', ""Children's"", 'Young Adult', 'Love', 'Fantasy', 'Non-fiction']",3.74,128.0,http://books.google.com/books/content?id=vxCXxgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060737047,Behind the Curtain: An Echo Falls Mystery,Peter Abrahams,2006,"In echo falls you never know what's coming next -- and everyone has a secret. Things are amiss at 99 Maple Lane: Ingrid's dad's job is in jeopardy, but he won't explain why. Ingrid's brother, Ty, is getting buff -- really buff -- but when Ty starts getting moody, Ingrid wonders if there's more to his physical fitness than lifting weights. Meanwhile, Ingrid's beloved soccer coach is replaced by an icy newcomer named Julia LeCaine, who seems a little too savvy to be in it for the postgame pizza. True to her hero, Sherlock Holmes, Ingrid begins fishing around to find out who's really pulling the strings in Echo Falls. But one morning, while en route to the dreaded MathFest, Ingrid is kidnapped and locked in the trunk of a car. Even if she escapes, will anyone believe her story? In this sequel to Down the Rabbit Hole a clever young girl learns that mysterious forces are at work in her town -- and exposing them could put her life in jeopardy.","['Mystery', 'Young Adult', 'Non-fiction', 'Adventure', ""Children's"", 'Horror', 'Fantasy', 'Science Fiction']",3.9,352.0,http://books.google.com/books/content?id=c5FuIIBgTGQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060745905,Wicked Musical Tie-in Edition: The Life and Times of the Wicked Witch of the West,Gregory Maguire,2004,"When Dorothy triumphed over the Wicked Witch of the West in L. Frank Baum's classic tale, we heard only her side of the story. But what about her arch-nemesis, the mysterious Witch? Where did she come from? How did she become so wicked? And what is the true nature of evil? Gregory Maguire creates a fantasy world so rich and vivid that we will never look at Oz the same way again. Wicked is about a land where animals talk and strive to be treated like first-class citizens, Munchkinlanders seek the comfort of middle-class stability, and the Tin Man becomes a victim of domestic violence. And then there is the little green-skinned girl named Elphaba, who will grow up to become the infamous Wicked Witch of the West, a smart, prickly, and misunderstood creature who challenges all our preconceived notions about the nature of good and evil.","['Fantasy', 'Mystery', 'Adventure']",3.53,409.0,http://books.google.com/books/content?id=MLEujRNyoMUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060747220,Son of a Witch: A Novel,Gregory Maguire,2006,"Ten years after the publication of Wicked, beloved novelist Gregory Maguire returns at last to the land of Oz. There he introduces us to Liir, an adolescent boy last seen hiding in the shadows of the castle after Dorothy did in the Witch. Bruised, comatose, and left for dead in a gully, Liir is shattered in spirit as well as in form. But he is tended to at the Cloister of Saint Glinda by the silent novice called Candle, who wills him back to life with her musical gifts. What dark force left Liir in this condition? Is he really Elphaba's son? He has her broom and her cape—but what of her powers? Can he find his supposed half-sister, Nor, last seen in the forbidding prison, Southstairs? Can he fulfill the last wishes of a dying princess? In an Oz that, since the Wizard's departure, is under new and dangerous management, can Liir keep his head down long enough to grow up? For the countless fans who have been dazzled and entranced by Maguire's Oz, Son of a Witch is the rich reward they have awaited so long.","['Mystery', 'Fantasy', 'Personal Development', 'Historical', 'Young Adult', 'Love']",3.47,352.0,http://books.google.com/books/content?id=5-3f3naMQ6QC&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060747473,This Rough Magic,Mary Stewart,2004,"A fledgling actress vacationing in Corfu, Lucy Waring witnesses the murder of one of England's theater luminaries and becomes embroiled in a dangerous offstage drama. Reprint.","['Historical', 'Young Adult', 'Fantasy']",4.05,373.0,http://books.google.com/books/content?id=BjFn9MD8n10C&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060747480,Airs Above the Ground,Mary Stewart,2004,Vanessa March never thought to look for her missing husband in Vienna -- until she saw him in a newsreel shot there at the scene of a deadly fire. But her hunt for answers only leads to more sinister questions in a mysterious world of beautiful horses. And what waits for Vanessa in the shadows is more terrifying than anything she has ever encountered.,"['Young Adult', 'Science Fiction', 'Non-fiction', 'Fantasy', 'Historical']",4.04,384.0,http://books.google.com/books/content?id=P_i1ysmDf8MC&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060751647,The Mediator #5: Haunted: Haunted,Meg Cabot,2004,"Suze is used to trouble, but this time she's in deep: Ghostly Jesse has her heart, but Paul Slater, a real flesh—and—blood guy, is warm for her form. And mediator Paul knows how to send Jesse to the Great Beyond. For good. Paul claims he won't do anything to Jesse as long as Suze will go out with him. Fearing she'll lose Jesse forever, Suze agrees. But even if Suze can get Jesse to admit his true feelings for her, what kind of future can she have with a guy who's already dead?","['Horror', 'Historical', 'Young Adult']",4.15,263.0,https://covers.openlibrary.org/b/id/13135612-M.jpg
9780060753108,Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,2005,"A strange imprisonment Beauty has never liked her nickname. She is thin and awkward; it is her two sisters who are the beautiful ones. But what she lacks in looks, she can perhaps make up for in courage. When her father comes home with the tale of an enchanted castle in the forest and the terrible promise he had to make to the Beast who lives there, Beauty knows she must go to the castle, a prisoner of her own free will. Her father protests that he will not let her go, but she answers, ""Cannot a Beast be tamed?"" Robin McKinley's beloved telling illuminates the unusual love story of a most unlikely couple: Beauty and the Beast.","[""Children's"", 'Young Adult', 'Historical', 'Fantasy', 'Love']",4.05,325.0,http://books.google.com/books/content?id=EaWWnkiShpIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060753634,Mating in Captivity: Reconciling the Erotic and the Domestic,Esther Perel,2006,"A guide for loving couples who are looking to renew sexual passion in their lives explains how societal taboos and ideals about domestic equality have compromised the healthy expression of eroticism in today's relationships, in a resource that explains how to overcome personal constraints for greater intimacy. 40,000 first printing.","['Non-fiction', 'Young Adult', ""Children's""]",4.13,272.0,http://books.google.com/books/content?id=-HIhMOQanIEC&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060754006,Forgotten New York: Views of a Lost Metropolis,Kevin Walsh,2006,"Forgotten New York is your passport to more than 300 years of history, architecture, and memories hidden in plain sight. Houses dating to the first Dutch settlers on Staten Island; yellow brick roads in Brooklyn; clocks embedded in the sidewalk in Manhattan; bishop's crook lampposts in Queens; and a white elephant in the Bronx—this is New York and this is your guide to seeing it all. Forgotten New York covers all five boroughs with easy-to-use maps and suggested routes to hundreds of out-of-the way places, antiquated monuments, streets to nowhere, and buildings from a time lost. Forgotten New York features: Quiet Places Truly Forgotten History Happened Here What Is This Thing? Forgotten People And so much more","['Historical', 'Non-fiction', 'Mystery', 'Adventure', 'Young Adult', ""Children's"", 'Personal Development']",4.18,384.0,http://books.google.com/books/content?id=77aiRf018Y0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060758769,"The Dead Beat: Lost Souls, Lucky Stiffs, and the Perverse Pleasures of Obituaries",Marilyn Johnson,2007,"Marilyn Johnson was enthralled by the remarkable lives that were marching out of this world—so she sought out the best obits in the English language and the people who spent their lives writing about the dead. She surveyed the darkest corners of Internet chat rooms, and made a pilgrimage to London to savor the most caustic and literate obits of all. Now she leads us on a compelling journey into the cult and culture behind the obituary page and the unusual lives we don't quite appreciate until they're gone.","['Non-fiction', 'Mystery', 'Adventure', 'Young Adult', ""Children's"", 'Historical', 'Personal Development', 'Horror', 'Love', 'Fantasy']",3.41,272.0,http://books.google.com/books/content?id=b03jlgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060760250,Charms for the Easy Life,Kaye Gibbons,2005,"A family without men, the Birches live gloriously offbeat lives in the lush, green backwoods of North Carolina. Radiant, headstrong Sophia and her shy, brilliant daughter, Margaret, possess powerful charms to ward off loneliness, despair, and the human misery that often beats a path to their door. And they are protected by the eccentric wisdom and muscular love of the remarkable matriarch Charlie Kate, a solid, uncompromising, self-taught healer who treats everything from boils to broken bones to broken hearts. Sophia, Margaret, and Charlie Kate find strength in a time when women almost always depended on men, and their bond deepens as each one experiences love and loss during World War II. Charms for the Easy Life is a passionate, luminous, and exhilarating story about embracing what life has to offer ... even if it means finding it in unconventional ways. This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.","['Non-fiction', 'Personal Development', 'Adventure', ""Children's"", 'Love', 'Young Adult', 'Historical']",4.02,272.0,http://books.google.com/books/content?id=TE2mBDsQyvkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060761530,What Christians Believe,Clive Staples Lewis,2005,"The Essentials Explained Master storyteller and essayist Clive Staples Lewis here tackles the central questions of the Christian faith: Who was Jesus? What did he accomplish? What does it mean for me? In these classic essays, which began as talks on the BBC during World War II, Lewis creatively and simply explains the basic tenets of Christianity. Taken from the core section of Mere Christianity, the selection in this gift edition provides an accessible way for more people to discover these timeless truths. For those looking to remind themselves of the things they hold true, or those looking for a snapshot of Christianity, this book is a wonderful introduction to the faith.","['Non-fiction', 'Religion', 'Personal Development', ""Children's""]",4.2,98.0,http://books.google.com/books/content?id=81T46KixNg8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060763725,Psyche in a Dress,Francesca Lia Block,2006,"But this is what I could not give up: I could not give up myself Psyche has known Love—scented with jasmine and tasting of fresh oranges. Yet he is fleeting and fragile, lost to her too quickly. Punished by self-doubt, Psyche yearns to be transformed, like the beautiful and brutal figures in the myths her lover once spoke of. Attempting to uncover beauty in the darkness, she is challenged, tested, and changed by the gods and demons who tempt her. Her faith must be found again, for if she is to love, she must never look back.","['Love', 'Young Adult', 'Non-fiction']",3.84,116.0,http://books.google.com/books/content?id=NYE3GwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060765316,YOU: The Owner's Manual: An Insider's Guide to the Body that Will Make You Healthier and Younger,Michael F Roizen;Mehmet C Oz,2005,"Outlines steps to achieving overall physical health, addressing each area of the body in a series of chapters designed to challenge popular myths while informing readers on a range of dietary, exercise, and therapeutic concerns.","['Non-fiction', 'Young Adult', 'Personal Development']",3.82,417.0,http://books.google.com/books/content?id=WMtZ29Fjx2MC&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060766740,"The Nightmare Room, Books 1-2-3: The Nightmare Begins!: the nightmare begins",R.L. Stine,2005,"The master of horror delivers the first three books of his chillingly popular series The Nightmare Room, now bound in this omnibus volume. Includes ""Don't Forget Me!, Locker 13,"" and ""My Name Is Evil.""","['Horror', ""Children's"", 'Young Adult']",3.89,432.0,http://books.google.com/books/content?id=R_LRInz7X1QC&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060773755,A Quick Bite,Lynsay Sands,2005,"That hot guy tied to Lissianna Argeneau's bed? He's not dessert—he's the main course! Lissianna has been spending her centuries pining for Mr. Right, not just a quick snack, and this sexy guy she finds in her bed looks like he might be a candidate. But there's another, more pressing issue: her tendency to faint at the sight of blood . . . an especially annoying quirk for a vampire. Of course it doesn't hurt that this man has a delicious-looking neck. What kind of cold-blooded vampire woman could resist a bite of that? Dr. Gregory Hewitt recovers from the shock of waking up in a stranger's bedroom pretty quickly—once he sees a gorgeous woman about to treat him to a wild night of passion. But is it possible for the good doctor to find true love with a vampire vixen, or will he be just a good meal? That's a question Dr. Greg might be willing to sink his teeth into . . . if he can just get Lissianna to bite.","['Young Adult', 'Fantasy', 'Non-fiction', 'Science Fiction']",3.91,360.0,http://books.google.com/books/content?id=xIJ5TMzPsHYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060775858,Goodnight Moon 60th Anniversary Edition,Margaret Wise Brown,2005,"In a great green room, tucked away in bed, is a little bunny. ""Goodnight room, goodnight moon."" And to all the familiar things in the softly lit room -- to the picture of the three little bears sitting on chairs, to the clocks and his socks, to themittens and the kittens, toeverything one by one -- the little bunny says goodnight. In this classic of children's literature, beloved by generations of readers and listeners, the quiet poetry of the words and the gentle, lulling illustrations combine to make a perfect book for the end of the day.","['Historical', ""Children's""]",4.27,32.0,http://books.google.com/books/content?id=lLYOrikgtJoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060776091,Brave New World and Brave New World Revisited,Aldous Huxley,2005,"The astonishing novel Brave New World, originally published in 1932, presents Aldous Huxley's vision of the future -- of a world utterly transformed. Through the most efficient scientific and psychological engineering, people are genetically designed to be passive and therefore consistently useful to the ruling class. This powerful work of speculative fiction sheds a blazing critical light on the present and is considered to be Huxley's most enduring masterpiece. Following Brave New World is the nonfiction work Brave New World Revisited, first published in 1958. It is a fascinating work in which Huxley uses his tremendous knowledge of human relations to compare the modern-day world with the prophetic fantasy envisioned in Brave New World, including threats to humanity, such as overpopulation, propaganda, and chemical persuasion.","['Non-fiction', 'Science Fiction', 'Historical', 'Personal Development']",4.16,340.0,http://books.google.com/books/content?id=3h9eNAyQWzAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060777104,The Final Solution: A Story of Detection,Michael Chabon,2005,"Retired to the English countryside, an eighty-nine-year-old man, rumored to be a once-famous detective, is more concerned with his beekeeping than with his fellow man. Into his life wanders Linus Steinman, nine years old and mute, who has escaped from Nazi Germany with his sole companion: an African gray parrot. What is the meaning of the mysterious strings of German numbers the bird spews out -- a top-secret SS code? The keys to a series of Swiss bank accounts? Or do they hold a significance both more prosaic and far more sinister? Though the solution may be beyond even the reach of the once-famous sleuth, the true story of the boy and his parrot is subtly revealed in a wrenching resolution.","['Non-fiction', 'Historical', 'Young Adult', 'Mystery']",3.31,131.0,http://books.google.com/books/content?id=xXtptpBIYP8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060778019,Holy Skirts: A Novel of a Flamboyant Woman Who Risked All for Art,Rene Steinke,2005,"No one in 1917 New York had ever encountered a woman like the Bar-oness Elsa von Freytag-Loringhoven -- poet, artist, proto-punk rocker, sexual libertine, fashion avatar, and unrepentant troublemaker. When she wasn't stalking the streets of Greenwich Village wearing a brassiere made from tomato cans, she was enthusiastically declaiming her poems to sailors in beer halls or posing nude for Man Ray or Marcel Duchamp. In an era of brutal war, technological innovation, and cataclysmic change, the Baroness had resolved to create her own destiny -- taking the center of the Dadaist circle, breaking every bond of female propriety . . . and transforming herself into a living, breathing work of art.","['Historical', 'Adventure']",3.61,384.0,http://books.google.com/books/content?id=BjP7lwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060782139,Time For Kids: Butterflies!,Editors of TIME For Kids,2006,"Butterflies There are 20,000 different kinds of butterflies in the world. Many have brightly colored wings. But butterflies don't start life as beauties. Every butterfly begins as a tiny egg that hatches into a caterpillar. Then an amazing change takes place. The caterpillar turns into a fluttering butterfly!","[""Children's"", 'Non-fiction']",4.0,32.0,http://books.google.com/books/content?id=OdZxnI53jj4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060786731,A False Mirror: An Inspector Ian Rutledge Mystery,Charles Todd,2007,"Summoned to a small harbor town by a former trenchmate falsely accused of assaulting an ex-lover's husband, Scotland Yard inspector Ian Rutledge is reminded of an affair from his own past and investigates a bizarre coincidence.","['Mystery', 'Historical', 'Young Adult']",4.02,384.0,http://books.google.com/books/content?id=MMG3b9fo-hYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060787035,"Cracks in My Foundation: Bags, Trips, Make-up Tips, Charity, Glory, and the Darker Side of the Story: Essays and Stories by Marian Keyes",Marian Keyes,2005,"Go further under the covers and stay in bed a little longer with Marian Keyes in this winning follow-up to her smash essay collection, Under the Duvet. Written in the witty, forthright style that has earned her legions of devoted readers, Cracks in My Foundation offers an even deeper and more candid look into this beloved author's mind and heart, exploring such universal themes as friends and family, home, glamour and beauty, children, travel, and more. Marian's hilarious and thoughtful take on life makes her readers feel they are reading a friend, not just an author. Marian continues to entertain with her reports from the trenches, and throws in some original short fiction as well. Whether it's visiting Siberia, breaking it off with an old hairdresser, shopping (of course!), turning forty, living with her beloved husband, Himself (a man beyond description), or musing on the F word (feminism), Marian shares the joys, passions, and sorrows of her world and helps us feel good about our own. So grab a latte and a pillow and get ready to laugh your slippers off!","['Personal Development', ""Children's"", 'Adventure', 'Non-fiction', 'Love']",3.81,368.0,http://books.google.com/books/content?id=cC8-lwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060788193,A Fistful of Charms,Kim Harrison,2006,"The evil night things that prowl Cincinnati despise witch and bounty hunter Rachel Morgan. Her new reputation for the dark arts is turning human and undead heads alike with the intent to possess, bed, and kill her -- not necessarily in that order. Now a mortal lover who abandoned Rachel has returned, haunted by his secret past. And there are those who covet what Nick possesses -- savage beasts willing to destroy the Hollows and everyone in it if necessary. Forced to keep a low profile or eternally suffer the wrath of a vengeful demon, Rachel must nevertheless act quickly. For the pack is gathering for the first time in millennia to ravage and to rule. And suddenly more than Rachel's soul is at stake.","['Young Adult', 'Horror', 'Fantasy', 'Adventure', 'Historical']",4.28,510.0,http://books.google.com/books/content?id=o_jxvQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060788384,For a Few Demons More,Kim Harrison,2007,"When a serial murderer begins killing off members of Hollows society, Rachel Morgan finds herself swept up in a brutal Inderland gang war, a situation that is complicated by her demonic nemesis, and the release of a vampire master.","['Young Adult', 'Horror', 'Fantasy', 'Science Fiction']",4.33,456.0,http://books.google.com/books/content?id=ya3Nq-_dqG8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060790592,Mysteries of Pittsburgh: A Novel,Michael Chabon,2005,"By the Pulitzer Prize-winning author of The Amazing Adventures of Kavalier & Clay This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",['Mystery'],3.64,320.0,http://books.google.com/books/content?id=wh8B41h8bqQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060792176,Everything Is Illuminated tie-in: A Novel,Jonathan Safran Foer,2005,"With only a yellowing photograph in hand, a young man -- also named Jonathan Safran Foer -- sets out to find the woman who may or may not have saved his grandfather from the Nazis. Accompanied by an old man haunted by memories of the war; an amorous dog named Sammy Davis, Junior, Junior; and the unforgettable Alex, a young Ukrainian translator who speaks in a sublimely butchered English, Jonathan is led on a quixotic journey over a devastated landscape and into an unexpected past. By turns comic and tragic, but always passionate, wildly inventive, and touched with an indelible humanity, this debut novel is a powerful, deeply felt story of searching: for the past, family, and truth.",['Young Adult'],3.9,276.0,http://books.google.com/books/content?id=tsO2vgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060792787,Flight of the Nighthawks: Book One of the Darkwar Saga,Raymond E. Feist,2006,"A new evil threatens Midkemia, its web stretching from the deepest criminal underworld all the way up to the highest seats of power in ancient Kesh. And the Conclave of Shadows, charged unexpectedly with the training of two apprentices, must also best powerful agents of the darkest magic . . . for the fate of two worlds lies in the balance. The New York Times bestselling author and master of fantasy Raymond E. Feist returns to his signature world of Midkemia in this first book in a gripping new trilogy that ushers in the third, and most dramatic, Riftwar yet: the Darkwar. In the middle of the night on Sorcerer's Isle, the powerful sorcerer Pug is awakened from a nightmare that portends destruction for all of Midkemia. Disturbed by the dream, Pug calls for a convening of the Conclave of Shadows. Though Pug does not yet know it, his son Magnus has discovered the cause of Pug's prophetic dream: a beacon has been unleashed, directing a vast army of alien invaders to Midkemia, an army so formidable that even the might of the Tsurani Empire might fall before its fury. Meanwhile, in far Stardock town, two boys are coming of age. But on the dusty path that leads them from home they are thrust by fate into a life undreamed of, becoming enmeshed in intrigue, murder, and treason. Though untrained and unready, they are called upon by the mysterious Conclave to travel deep into the heart of the Empire of Great Kesh, to confront a plot so dark and twisted it will implicate even the highest-ranking nobles of the Empire, even members of the royal family itself. And behind this plot they discover the ancient Brotherhood of Death, the clan of assassins known as the Nighthawks. And Pug will find himself once again facing his old nemesis, the evil wizard formerly known as Sidi, now Leso Varen, in a confrontation with everything at stake: his honor, his life, and the future of Midkemia.","['Fantasy', 'Mystery', 'Adventure', 'Young Adult', 'Horror', 'Science Fiction', 'Personal Development', 'Historical']",3.95,368.0,http://books.google.com/books/content?id=cMRnRK9KE9wC&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060793197,The 3-Hour Diet (TM) On the Go (Collins Gem),Jorge Cruise,2005,"More Than 600 New Options! Imagine eating your favorite foods every 3 hours to finally get the results you've been searching for. NO calorie-counting, NO carb deprivation, and NO skipping sweets. Based on the revolutionary principles of Time-Based Nutrition™, this pocket guidebook will give you the slimming secrets you need to enjoy fast food, restaurant meals, gas station gourmet, and much more! Visit www.3hourdiet.net for your free personalized weight-loss profile.","['Non-fiction', 'Young Adult']",3.08,192.0,http://books.google.com/books/content?id=xaefjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060815912,Last of the Wilds: Age of the Five Trilogy,Trudi Canavan,2006,"After pitched battle, The White—the avatars of the Five Gods—have briefly turned back the vicious invaders. And now, the priestess Auraya is sent on an urgent mission to reconcile with the powerful, outcast Dreamweavers, for their magical healing abilities may be the key to saving the land. But as a deadly plague devastates their allies and old adversaries resurface, a dreadful surprise may ruin the chance for peace. For Auraya's terrible discovery will force her into a desperate choice—one whose consequences will change the world forever.","['Fantasy', 'Religion', 'Adventure', 'Science Fiction', 'Historical']",4.03,576.0,http://books.google.com/books/content?id=lkQ-lwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9780060815929,Voice of the Gods: Age of the Five Trilogy,Trudi Canavan,2007,"Unable to avoid being drawn into the terrible conflict, Auraya, now protector of the Siyee, fears she will be unable to meet the conditions of the all-powerful gods she once served. And an offer from a mysterious woman may be impossible for Auraya to refuse, but, if revealed, would brand her an enemy of the gods. Now, the immortal Wilds will not be deterred in their quest for powerful, long-buried secrets. But they have deadly adversaries who also seek the world-shattering truth . . . and it may appear in a form that no one anticipates.","['Fantasy', 'Mystery', 'Science Fiction', 'Adventure', 'Young Adult']",4.08,592.0,http://books.google.com/books/content?id=pRDilwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
